compound,table_source,parameter_source_used,hamiltonian_family,schoenflies,site_symmetry_hm,zero_field_evals_shifted_meV,Eb_peak_meV,gap_at_peak_meV,crossing_type,n_transitions,n_detected_response_features,transitions_df
CeRhIn5,Table 1: experimental_INS,analysis,tetragonal_D4_like,D4h,4/mmm,"0, 0, 6.99945, 6.99945, 23.9957, 23.9957",0.40008001600320064,0.10026255331528411,direct_or_nearly_direct,1,1,"   transition_id  Eb_peak_meV  response_peak  peak_to_background  \
0              1      0.40008       1.154449        2.443177e+07   

   Eb_gap_min_meV  gap_min_meV  ground_mz_change_window  ground_mz_jump  \
0             0.0          0.0                 1.437591        0.232425   

   response_sigma_Eb_meV  response_mean_Eb_meV            crossing_type  
0               0.352106              0.479267  direct_or_nearly_direct  "
CeIrIn5,Table 1: experimental_INS,analysis,tetragonal_D4_like,D4h,4/mmm,"0, 0, 5.20818, 5.20818, 29.3881, 29.3881",0.20004000800160032,0.13410290011120551,direct_or_nearly_direct,2,2,"   transition_id  Eb_peak_meV  response_peak  peak_to_background  \
0              1      0.20004       2.740328        1.225400e+08   
1              2      2.00040       2.099441        9.388124e+07   

   Eb_gap_min_meV  gap_min_meV  ground_mz_change_window  ground_mz_jump  \
0         0.00000     0.000000                 1.501027        0.914719   
1         1.80036     0.017487                 1.211219        0.764469   

   response_sigma_Eb_meV  response_mean_Eb_meV            crossing_type  
0               0.208397              0.143563  direct_or_nearly_direct  
1               0.304915              1.862355                  avoided  "
CeCoIn5,Table 1: experimental_INS,analysis,tetragonal_D4_like,D4h,4/mmm,"0, 0, 6.80556, 6.80556, 25.0148, 25.0148",0.20004000800160032,0.3680172126022949,direct_or_nearly_direct,2,2,"   transition_id  Eb_peak_meV  response_peak  peak_to_background  \
0              1      0.20004       5.078653        2.211459e+08   
1              2      4.80096       2.370593        1.032256e+08   

   Eb_gap_min_meV  gap_min_meV  ground_mz_change_window  ground_mz_jump  \
0         0.00000      0.00000                 2.217143        1.951887   
1         4.60092      0.08141                 0.989990        0.938630   

   response_sigma_Eb_meV  response_mean_Eb_meV            crossing_type  
0               0.131397              0.083127  direct_or_nearly_direct  
1               0.142922              4.712371                  avoided  "
CeAuAl3,Table 1: experimental_INS,analysis,tetragonal_D4_like,C4v,4mm,"0, 0, 4.95952, 4.95952, 24.2725, 24.2725",13.802760552110422,0.014330418875236006,avoided,2,2,"   transition_id  Eb_peak_meV  response_peak  peak_to_background  \
0              1     6.601320       2.266789        1.344060e+07   
1              2    13.802761       2.359700        1.399150e+07   

   Eb_gap_min_meV  gap_min_meV  ground_mz_change_window  ground_mz_jump  \
0        6.401280     0.067382                 0.919008        0.903455   
1       13.802761     0.014330                 0.959318        0.940720   

   response_sigma_Eb_meV  response_mean_Eb_meV crossing_type  
0               0.136518              6.512687       avoided  
1               0.125958             13.710212       avoided  "
CeCoGe3,Table 1: experimental_INS,analysis,tetragonal_D4_like,C4v,4mm,"0, 0, 17.5084, 17.5084, 24.097, 24.097",0.20004000800160032,0.5254093051101556,direct_or_nearly_direct,1,1,"   transition_id  Eb_peak_meV  response_peak  peak_to_background  \
0              1      0.20004        0.26575       556966.830411   

   Eb_gap_min_meV  gap_min_meV  ground_mz_change_window  ground_mz_jump  \
0             0.0          0.0                 0.292032        0.054293   

   response_sigma_Eb_meV  response_mean_Eb_meV            crossing_type  
0               0.295966              0.338642  direct_or_nearly_direct  "
CeRhGe3,Table 1: experimental_INS,analysis,tetragonal_D4_like,C4v,4mm,"0, 0, 8.68449, 8.68449, 19.0649, 19.0649",0.20004000800160032,0.19985070913421232,direct_or_nearly_direct,2,2,"   transition_id  Eb_peak_meV  response_peak  peak_to_background  \
0              1      0.20004       2.795640        1.011783e+07   
1              2      8.60172       2.035329        7.366152e+06   

   Eb_gap_min_meV  gap_min_meV  ground_mz_change_window  ground_mz_jump  \
0         0.00000     0.000000                 1.311449        1.061356   
1         8.60172     0.058221                 0.887896        0.798435   

   response_sigma_Eb_meV  response_mean_Eb_meV            crossing_type  
0               0.123556              0.078378  direct_or_nearly_direct  
1               0.191054              8.535779                  avoided  "
CeIrGe3,Table 1: experimental_INS,analysis,tetragonal_D4_like,C4v,4mm,"0, 0, 9.71114, 9.71114, 20.8863, 20.8863",0.20004000800160032,0.2461262940566371,direct_or_nearly_direct,2,2,"   transition_id  Eb_peak_meV  response_peak  peak_to_background  \
0              1      0.20004       3.325529        1.088333e+07   
1              2     10.80216       2.145737        7.022270e+06   

   Eb_gap_min_meV  gap_min_meV  ground_mz_change_window  ground_mz_jump  \
0         0.00000     0.000000                 1.492625        1.282618   
1        10.80216     0.037184                 0.904685        0.848458   

   response_sigma_Eb_meV  response_mean_Eb_meV            crossing_type  
0               0.114914              0.074551  direct_or_nearly_direct  
1               0.165765             10.724609                  avoided  "
CePdAl3,Table 1: experimental_INS,analysis,tetragonal_D4_like,D2d,-4m2,"0, 0, 2.90658, 2.90658, 6.12037, 6.12037",0.20004000800160032,0.5930496229487807,direct_or_nearly_direct,2,2,"   transition_id  Eb_peak_meV  response_peak  peak_to_background  \
0              1      0.20004       7.427749        1.136540e+10   
1              2      6.20124       2.497052        3.820809e+09   

   Eb_gap_min_meV  gap_min_meV  ground_mz_change_window  ground_mz_jump  \
0          0.0000     0.000000                 2.977162        2.969025   
1          6.0012     0.062359                 0.999645        0.998873   

   response_sigma_Eb_meV  response_mean_Eb_meV            crossing_type  
0               0.095311              0.067054  direct_or_nearly_direct  
1               0.100899              6.101429                  avoided  "
CeIn3,Table 1: experimental_INS,analysis,cubic_B_Td_O_Oh_like,Oh,m-3m,"0, 0, 12, 12, 12, 12",0.20004000800160032,0.3327411034859731,direct_or_nearly_direct,2,2,"   transition_id  Eb_peak_meV  response_peak  peak_to_background  \
0              1      0.20004       4.490756        5.549861e+07   
1              2      7.80156       2.315215        2.861238e+07   

   Eb_gap_min_meV  gap_min_meV  ground_mz_change_window  ground_mz_jump  \
0         0.00000     0.000000                 1.972783        1.736015   
1         7.60152     0.052721                 0.961544        0.918310   

   response_sigma_Eb_meV  response_mean_Eb_meV            crossing_type  
0               0.122085              0.077972  direct_or_nearly_direct  
1               0.146531              7.715837                  avoided  "
CeB6,Table 1: experimental_INS,analysis,cubic_B_Td_O_Oh_like,Oh,m-3m,"0, 0, 1.77636e-15, 1.77636e-15, 46, 46",0.20004000800160032,0.2686309118085006,direct_or_nearly_direct,1,1,"   transition_id  Eb_peak_meV  response_peak  peak_to_background  \
0              1      0.20004       0.093328        83183.678027   

   Eb_gap_min_meV  gap_min_meV  ground_mz_change_window  ground_mz_jump  \
0             0.0          0.0                 0.104623        0.018995   

   response_sigma_Eb_meV  response_mean_Eb_meV            crossing_type  
0               0.294867              0.334723  direct_or_nearly_direct  "
