a,eigenvalue
0.00000000,-14.55641000
0.00000000,-14.55641000
0.00000000,-8.55641000
0.00000000,-8.55641000
0.00000000,6.72179500
0.00000000,6.72179500
0.25000000,-16.05751894
0.25000000,-16.05751894
0.25000000,-4.84630015
0.25000000,-4.84630015
0.25000000,8.61055034
0.25000000,8.61055034
0.50000000,-17.55862788
0.50000000,-17.55862788
0.50000000,-1.16858324
0.50000000,-1.16858324
0.50000000,10.53169862
0.50000000,10.53169862
0.75000000,-19.05973682
0.75000000,-19.05973682
0.75000000,2.45971407
0.75000000,2.45971407
0.75000000,12.50226650
0.75000000,12.50226650
1.00000000,-20.56084576
1.00000000,-20.56084576
1.00000000,6.00971988
1.00000000,6.00971988
1.00000000,14.55112588
1.00000000,14.55112588
