a,Eb,eigenvalue
0.00000000,0.00000000,-14.55641000
0.00000000,0.00000000,-14.55641000
0.00000000,0.00000000,-8.55641000
0.00000000,0.00000000,-8.55641000
0.00000000,0.00000000,6.72179500
0.00000000,0.00000000,6.72179500
0.50000000,0.00000000,-17.55862788
0.50000000,0.00000000,-17.55862788
0.50000000,0.00000000,-1.16858324
0.50000000,0.00000000,-1.16858324
0.50000000,0.00000000,10.53169862
0.50000000,0.00000000,10.53169862
1.00000000,0.00000000,-20.56084576
1.00000000,0.00000000,-20.56084576
1.00000000,0.00000000,6.00971988
1.00000000,0.00000000,6.00971988
1.00000000,0.00000000,14.55112588
1.00000000,0.00000000,14.55112588
0.00000000,40.00000000,-114.55641000
0.00000000,40.00000000,-34.55641000
0.00000000,40.00000000,51.44359000
0.00000000,40.00000000,91.44359000
0.00000000,40.00000000,26.72179500
0.00000000,40.00000000,-53.27820500
0.50000000,40.00000000,-117.55862788
0.50000000,40.00000000,-37.55862788
0.50000000,40.00000000,58.83141676
0.50000000,40.00000000,98.83141676
0.50000000,40.00000000,30.53169862
0.50000000,40.00000000,-49.46830138
1.00000000,40.00000000,-120.56084576
1.00000000,40.00000000,-40.56084576
1.00000000,40.00000000,66.00971988
1.00000000,40.00000000,106.00971988
1.00000000,40.00000000,34.55112588
1.00000000,40.00000000,-45.44887412
