a,Eb,old_postdiag_shift,new_matrixfirst,difference
0.00000000,0.00000000,-14.55641000,-14.55641000,0.00000000
0.00000000,0.00000000,-14.55641000,-14.55641000,0.00000000
0.00000000,0.00000000,-8.55641000,-8.55641000,0.00000000
0.00000000,0.00000000,-8.55641000,-8.55641000,0.00000000
0.00000000,0.00000000,6.72179500,6.72179500,0.00000000
0.00000000,0.00000000,6.72179500,6.72179500,0.00000000
0.50000000,0.00000000,-17.55862788,-17.55862788,0.00000000
0.50000000,0.00000000,-17.55862788,-17.55862788,0.00000000
0.50000000,0.00000000,-1.16858324,-1.16858324,0.00000000
0.50000000,0.00000000,-1.16858324,-1.16858324,0.00000000
0.50000000,0.00000000,10.53169862,10.53169862,0.00000000
0.50000000,0.00000000,10.53169862,10.53169862,0.00000000
1.00000000,0.00000000,-20.56084576,-20.56084576,0.00000000
1.00000000,0.00000000,-20.56084576,-20.56084576,0.00000000
1.00000000,0.00000000,6.00971988,6.00971988,0.00000000
1.00000000,0.00000000,6.00971988,6.00971988,0.00000000
1.00000000,0.00000000,14.55112588,14.55112588,0.00000000
1.00000000,0.00000000,14.55112588,14.55112588,0.00000000
0.00000000,40.00000000,-114.55641000,-93.27820500,21.27820500
0.00000000,40.00000000,-34.55641000,-68.55641000,-34.00000000
0.00000000,40.00000000,51.44359000,-34.55641000,-86.00000000
0.00000000,40.00000000,91.44359000,5.44359000,-86.00000000
0.00000000,40.00000000,26.72179500,51.44359000,24.72179500
0.00000000,40.00000000,-53.27820500,106.72179500,160.00000000
0.50000000,40.00000000,-117.55862788,-89.52991449,28.02871339
0.50000000,40.00000000,-37.55862788,-61.11532858,-23.55670070
0.50000000,40.00000000,58.83141676,-37.55862788,-96.39004464
0.50000000,40.00000000,98.83141676,2.44137212,-96.39004464
0.50000000,40.00000000,30.53169862,58.89302987,28.36133125
0.50000000,40.00000000,-49.46830138,110.47844396,159.94674535
1.00000000,40.00000000,-120.56084576,-85.79015102,34.77069474
1.00000000,40.00000000,-40.56084576,-53.68234027,-13.12149451
1.00000000,40.00000000,66.00971988,-40.56084576,-106.57056564
1.00000000,40.00000000,106.00971988,-0.56084576,-106.57056564
1.00000000,40.00000000,34.55112588,66.35099678,31.79987089
1.00000000,40.00000000,-45.44887412,114.24318603,159.69206015
